Topics,congress,date,track,sponsor,party,state,topic
1884,115th,2017-04-04,Introduced,"Carbajal, Salud O. ",D,CA,Labor / Immigration
1885,115th,2017-04-04,Introduced,"Cardenas, Tony ",D,CA,Civil Law
1886,115th,2017-04-04,Introduced,"Deutch, Theodore E. ",D,FL,Regulations
1887,115th,2017-04-04,Introduced,"Balart, Mario ",R,Ba,Natural Resources
1888,115th,2017-04-04,Introduced,"Guthrie, Brett ",R,KY,Budget
1889,115th,2017-04-04,Introduced,"Huffman, Jared ",D,CA,Natural Resources
1890,115th,2017-04-04,Introduced,"Knight, Stephen ",R,CA,Labor / Immigration
1891,115th,2017-04-04,Introduced,"Malfa, Doug ",R,CA,Chemical Substances
1892,115th,2017-04-04,Became Law,"Larson, John B. ",D,CT,Health Care
1893,115th,2017-04-04,Introduced,"Latta, Robert E. ",R,OH,Regulations
1894,115th,2017-04-04,Introduced,"Long, Billy ",R,MO,Natural Resources
1895,115th,2017-04-04,Introduced,"Luetkemeyer, Blaine ",R,MO,Health Care
1896,115th,2017-04-04,Introduced,"Rodgers, Cathy ",R,WA,Tax Code
1897,115th,2017-04-04,Introduced,"Rodgers, Cathy ",R,WA,Tax Code
1898,115th,2017-04-04,Introduced,"Meehan, Patrick ",R,PA,Health Care
1899,115th,2017-04-04,Introduced,"Polis, Jared ",D,CO,Regulations
1900,115th,2017-04-04,Became Law,"Stivers, Steve ",R,OH,Diplomacy
1901,115th,2017-04-04,Introduced,"Young, Don ",R,AK,Natural Resources
1902,115th,2017-04-05,Introduced,"Larson, John B. ",D,CT,Tax Code
1903,115th,2017-04-05,Introduced,"Scott, Robert C. ",D,VA,Regulations
1904,115th,2017-04-05,Introduced,"Olson, Pete ",R,TX,Health Care
1905,115th,2017-04-05,Introduced,"Cummings, Elijah E. ",D,MD,Regulations
1906,115th,2017-04-05,Introduced,"Cummings, Elijah E. ",D,MD,Civil Law
1907,115th,2017-04-05,Introduced,"Johnson, Henry C. ",D,GA,Infrastructure
1908,115th,2017-04-05,Introduced,"Kelly, Mike ",R,PA,Budget
1909,115th,2017-04-05,Introduced,"Lawrence, Brenda L. ",D,MI,Infrastructure
1910,115th,2017-04-05,Introduced,"Stefanik, Elise M. ",R,NY,Regulations
1911,115th,2017-04-05,Passed House,"Smith, Christopher H. ",R,NJ,Regulations
1912,115th,2017-04-05,Introduced,"Cartwright, Matt ",D,PA,Labor / Immigration
1913,115th,2017-04-05,Passed House,"Panetta, Jimmy ",D,CA,Natural Resources
1914,115th,2017-04-05,Introduced,"Issa, Darrell E. ",R,CA,Regulations
1915,115th,2017-04-05,Introduced,"Velazquez, Nydia M. ",D,NY,Small Business
1916,115th,2017-04-05,Introduced,"Shuster, Bill ",R,PA,Military
1917,115th,2017-04-05,Passed House,"Johnson, Bill ",R,OH,Regulations
1918,115th,2017-04-05,Became Law,"Lehtinen, Ileana ",R,Le,Border
1919,115th,2017-04-05,Introduced,"Ferguson, A. Drew",R,GA,Tax Code
1920,115th,2017-04-05,Introduced,"Upton, Fred ",R,MI,Chemical Substances
1921,115th,2017-04-05,Introduced,"Banks, Jim ",R,IN,Education
1922,115th,2017-04-05,Introduced,"Burgess, Michael C. ",R,TX,Education
1923,115th,2017-04-05,Introduced,"Capuano, Michael E. ",D,MA,Military
1924,115th,2017-04-05,Introduced,"Cardenas, Tony ",D,CA,Civil Law
1925,115th,2017-04-05,Introduced,"Cardenas, Tony ",D,CA,Civil Law
1926,115th,2017-04-05,Introduced,"Cardenas, Tony ",D,CA,Civil Law
1927,115th,2017-04-05,Became Law,"Clay, Wm. Lacy ",D,MO,Diplomacy
1928,115th,2017-04-05,Introduced,"Connolly, Gerald E. ",D,VA,Budget
1929,115th,2017-04-05,Introduced,"Crist, Charlie ",D,FL,Labor / Immigration
1930,115th,2017-04-05,Introduced,"Davis, Rodney ",R,IL,Chemical Substances
1931,115th,2017-04-05,Introduced,"Doggett, Lloyd ",D,TX,Small Business
1932,115th,2017-04-05,Introduced,"Doggett, Lloyd ",D,TX,Small Business
1933,115th,2017-04-05,Introduced,"Duncan, John J.",R,TN,Tax Code
1934,115th,2017-04-05,Introduced,"Gallagher, Mike ",R,WI,Regulations
1935,115th,2017-04-05,Introduced,"Gallagher, Mike ",R,WI,Labor / Immigration
1936,115th,2017-04-05,Introduced,"Gallagher, Mike ",R,WI,Budget
1937,115th,2017-04-05,Introduced,"Garrett, Thomas A.",R,VA,Tax Code
1938,115th,2017-04-05,Introduced,"Garrett, Thomas A.",R,VA,Regulations
1939,115th,2017-04-05,Introduced,"Griffith, H. Morgan ",R,VA,Health Care
1940,115th,2017-04-05,Introduced,"Grijalva, Raul M. ",D,AZ,Small Business
1941,115th,2017-04-05,Introduced,"Higgins, Clay ",R,LA,Border
1942,115th,2017-04-05,Introduced,"Higgins, Clay ",R,LA,Military
1943,115th,2017-04-05,Introduced,"King, Steve ",R,IA,Military
1944,115th,2017-04-05,Introduced,"Latta, Robert E. ",R,OH,Natural Resources
1945,115th,2017-04-05,Introduced,"Latta, Robert E. ",R,OH,Natural Resources
1946,115th,2017-04-05,Introduced,"Lewis, John ",D,GA,Regulations
1947,115th,2017-04-05,Introduced,"Lewis, John ",D,GA,Diplomacy
1948,115th,2017-04-05,Introduced,"Love, Mia B. ",R,UT,Small Business
1949,115th,2017-04-05,Introduced,"Maloney, Carolyn B. ",D,NY,Education
1950,115th,2017-04-05,Introduced,"Murphy, Tim ",R,PA,Natural Resources
1951,115th,2017-04-05,Introduced,"Halleran, Tom ",D,AZ,Regulations
1952,115th,2017-04-05,Introduced,"Rourke, Beto ",D,TX,Civil Law
1953,115th,2017-04-05,Introduced,"Paulsen, Erik ",R,MN,Health Care
1954,115th,2017-04-05,Introduced,"Pingree, Chellie ",D,ME,Military
1955,115th,2017-04-05,Introduced,"Reed, Tom ",R,NY,Tax Code
1956,115th,2017-04-05,Introduced,"Roe, David P. ",R,TN,Tax Code
1957,115th,2017-04-05,Introduced,"Sanchez, Linda T. ",D,CA,Civil Law
1958,115th,2017-04-05,Introduced,"Sherman, Brad ",D,CA,Small Business
1959,115th,2017-04-05,Introduced,"Sinema, Kyrsten ",D,AZ,Tax Code
1960,115th,2017-04-05,Introduced,"Slaughter, Louise McIntosh ",D,NY,Civil Law
1961,115th,2017-04-05,Introduced,"Stewart, Chris ",R,UT,Natural Resources
1962,115th,2017-04-05,Introduced,"Tiberi, Patrick J. ",R,OH,Labor / Immigration
1963,115th,2017-04-05,Introduced,"Schultz, Debbie ",D,FL,Diplomacy
1964,115th,2017-04-05,Introduced,"Williams, Roger ",R,TX,Small Business
1965,115th,2017-04-06,Introduced,"Tipton, Scott  R. ",R,CO,Natural Resources
1966,115th,2017-04-06,Introduced,"Tipton, Scott  R. ",R,CO,Natural Resources
1967,115th,2017-04-06,Passed Senate,"Lamborn, Doug ",R,CO,Regulations
1968,115th,2017-04-06,Introduced,"Dunn, Neal P. ",R,FL,Infrastructure
1969,115th,2017-04-06,Introduced,"Schakowsky, Janice D. ",D,IL,Natural Resources
1970,115th,2017-04-06,Introduced,"Bacon, Don ",R,NE,Border
1971,115th,2017-04-06,Introduced,"Smucker, Lloyd ",R,PA,Infrastructure
1972,115th,2017-04-06,Passed House,"Smucker, Lloyd ",R,PA,Regulations
1973,115th,2017-04-06,Passed House,"Brooks, Susan W. ",R,IN,Civil Law
1974,115th,2017-04-06,Introduced,"Kildee, Daniel T. ",D,MI,Natural Resources
1975,115th,2017-04-06,Introduced,"Govern, James P. ",D,MA,Border
1976,115th,2017-04-06,Introduced,"Jenkins, Evan H. ",R,WV,Civil Law
1977,115th,2017-04-06,Introduced,"Schultz, Debbie ",D,FL,Military
1978,115th,2017-04-06,Introduced,"Lee, Sheila ",D,TX,Diplomacy
1979,115th,2017-04-06,Introduced,"Lee, Sheila ",D,TX,Civil Law
1980,115th,2017-04-06,Introduced,"Lee, Sheila ",D,TX,Civil Law
1981,115th,2017-04-06,Introduced,"Lee, Sheila ",D,TX,Infrastructure
1982,115th,2017-04-06,Introduced,"Lee, Sheila ",D,TX,Health Care
1983,115th,2017-04-06,Introduced,"Lee, Sheila ",D,TX,Civil Law
1984,115th,2017-04-06,Introduced,"Lee, Sheila ",D,TX,Health Care
1985,115th,2017-04-06,Introduced,"Lee, Sheila ",D,TX,Border
1986,115th,2017-04-06,Introduced,"Lee, Sheila ",D,TX,Regulations
1987,115th,2017-04-06,Introduced,"Raskin, Jamie ",D,MD,Regulations
1988,115th,2017-04-06,Became Law,"Carthy, Kevin ",R,CA,Natural Resources
1989,115th,2017-04-06,Introduced,"Carthy, Kevin ",R,CA,Education
1990,115th,2017-04-06,Introduced,"Banks, Jim ",R,IN,Tax Code
1991,115th,2017-04-06,Introduced,"Barletta, Lou ",R,PA,Tax Code
1992,115th,2017-04-06,Introduced,"Barr, Andy ",R,KY,Natural Resources
1993,115th,2017-04-06,Introduced,"Beatty, Joyce ",D,OH,Military
1994,115th,2017-04-06,Introduced,"Bilirakis, Gus M. ",R,FL,Military
1995,115th,2017-04-06,Introduced,"Black, Diane ",R,TN,Health Care
1996,115th,2017-04-06,Introduced,"Bonamici, Suzanne ",D,OR,Tax Code
1997,115th,2017-04-06,Passed House,"Boyle, Brendan F. ",D,PA,Border
1998,115th,2017-04-06,Introduced,"Boyle, Brendan F. ",D,PA,Military
1999,115th,2017-04-06,Introduced,"Buck, Ken ",R,CO,Regulations
2000,115th,2017-04-06,Introduced,"Cartwright, Matt ",D,PA,Chemical Substances
2001,115th,2017-04-06,Introduced,"Cartwright, Matt ",D,PA,Natural Resources
2002,115th,2017-04-06,Introduced,"Castor, Kathy ",D,FL,Natural Resources
2003,115th,2017-04-06,Introduced,"Castro, Joaquin ",D,TX,Education
2004,115th,2017-04-06,Introduced,"Chabot, Steve ",R,OH,Labor / Immigration
2005,115th,2017-04-06,Introduced,"Cicilline, David N. ",D,RI,Tax Code
2006,115th,2017-04-06,Passed House,"Coffman, Mike ",R,CO,Military
2007,115th,2017-04-06,Introduced,"Collins, Chris ",R,NY,Education
2008,115th,2017-04-06,Introduced,"Comstock, Barbara ",R,VA,Tax Code
2009,115th,2017-04-06,Introduced,"Costello, Ryan A. ",R,PA,Chemical Substances
2010,115th,2017-04-06,Introduced,"Cramer, Kevin ",R,ND,Chemical Substances
2011,115th,2017-04-06,Introduced,"Curbelo, Carlos ",R,FL,Chemical Substances
2012,115th,2017-04-06,Introduced,"Gette, Diana ",D,CO,Chemical Substances
2013,115th,2017-04-06,Introduced,"Delaney, John K. ",D,MD,Tax Code
2014,115th,2017-04-06,Introduced,"Delaney, John K. ",D,MD,Tax Code
2015,115th,2017-04-06,Introduced,"Doggett, Lloyd ",D,TX,Education
2016,115th,2017-04-06,Introduced,"Duncan, John J.",R,TN,Chemical Substances
2017,115th,2017-04-06,Introduced,"Emmer, Tom ",R,MN,Tax Code
2018,115th,2017-04-06,Introduced,"Foster, Bill ",D,IL,Tax Code
2019,115th,2017-04-06,Introduced,"Foxx, Virginia ",R,NC,Tax Code
2020,115th,2017-04-06,Introduced,"Gaetz, Matt ",R,FL,Chemical Substances
2021,115th,2017-04-06,Introduced,"Colon, Jenniffer ",R,Co,Tax Code
2022,115th,2017-04-06,Introduced,"Gosar, Paul A. ",R,AZ,Civil Law
2023,115th,2017-04-06,Introduced,"Graves, Garret ",R,LA,Natural Resources
2024,115th,2017-04-06,Introduced,"Graves, Sam ",R,MO,Chemical Substances
2025,115th,2017-04-06,Introduced,"Griffith, H. Morgan ",R,VA,Chemical Substances
2026,115th,2017-04-06,Introduced,"Guthrie, Brett ",R,KY,Health Care
2027,115th,2017-04-06,Introduced,"Harper, Gregg ",R,MS,Natural Resources
2028,115th,2017-04-06,Introduced,"Hultgren, Randy ",R,IL,Education
2029,115th,2017-04-06,Introduced,"Johnson, Sam ",R,TX,Regulations
2030,115th,2017-04-06,Introduced,"Johnson, Sam ",R,TX,Tax Code
2031,115th,2017-04-06,Introduced,"Johnson, Sam ",R,TX,Labor / Immigration
2032,115th,2017-04-06,Introduced,"Jones, Walter B.",R,NC,Natural Resources
2033,115th,2017-04-06,Introduced,"Kihuen, Ruben J. ",D,NV,Civil Law
2034,115th,2017-04-06,Introduced,"Kilmer, Derek ",D,WA,Regulations
2035,115th,2017-04-06,Introduced,"Kilmer, Derek ",D,WA,Tax Code
2036,115th,2017-04-06,Introduced,"Kilmer, Derek ",D,WA,Military
2037,115th,2017-04-06,Introduced,"Lance, Leonard ",R,NJ,Military
2038,115th,2017-04-06,Introduced,"Larson, John B. ",D,CT,Health Care
2039,115th,2017-04-06,Introduced,"Levin, Sander M. ",D,MI,Small Business
2040,115th,2017-04-06,Introduced,"Lewis, Jason ",R,MN,Regulations
2041,115th,2017-04-06,Introduced,"Loebsack, David ",D,IA,Education
2042,115th,2017-04-06,Introduced,"Loebsack, David ",D,IA,Health Care
2043,115th,2017-04-06,Introduced,"Lofgren, Zoe ",D,CA,Border
2044,115th,2017-04-06,Introduced,"Lowenthal, Alan S. ",D,CA,Natural Resources
2045,115th,2017-04-06,Introduced,"Lujan, Ben Ray ",D,NM,Education
2046,115th,2017-04-06,Introduced,"Lujan, Ben Ray ",D,NM,Health Care
2047,115th,2017-04-06,Introduced,"Lujan, Ben Ray ",D,NM,Health Care
2048,115th,2017-04-06,Introduced,"Lujan, Ben Ray ",D,NM,Health Care
2049,115th,2017-04-06,Introduced,"Lujan, Ben Ray ",D,NM,Labor / Immigration
2050,115th,2017-04-06,Introduced,"Maloney, Carolyn B. ",D,NY,Health Care
2051,115th,2017-04-06,Introduced,"Kinley, David B. ",R,WV,Chemical Substances
2052,115th,2017-04-06,Passed House,"Sally, Martha ",R,AZ,Regulations
2053,115th,2017-04-06,Introduced,"Sally, Martha ",R,AZ,Natural Resources
2054,115th,2017-04-06,Introduced,"Meadows, Mark ",R,NC,Tax Code
2055,115th,2017-04-06,Introduced,"Messer, Luke ",R,IN,Labor / Immigration
2056,115th,2017-04-06,Passed House,"Murphy, Stephanie N. ",D,FL,Small Business
2057,115th,2017-04-06,Introduced,"Pocan, Mark ",D,WI,Tax Code
2058,115th,2017-04-06,Introduced,"Poe, Ted ",R,TX,Regulations
2059,115th,2017-04-06,Introduced,"Polis, Jared ",D,CO,Chemical Substances
2060,115th,2017-04-06,Introduced,"Reichert, David G. ",R,WA,Tax Code
2061,115th,2017-04-06,Became Law,"Lehtinen, Ileana ",R,Le,Diplomacy
2062,115th,2017-04-06,Introduced,"Rosen, Jacky ",D,NV,Border
2063,115th,2017-04-06,Introduced,"Schneider, Bradley Scott ",D,IL,Health Care
2064,115th,2017-04-06,Introduced,"Serrano, Jose E. ",D,NY,Chemical Substances
2065,115th,2017-04-06,Introduced,"Porter, Carol ",D,Po,Labor / Immigration
2066,115th,2017-04-06,Introduced,"Speier, Jackie ",D,CA,Health Care
2067,115th,2017-04-06,Introduced,"Stivers, Steve ",R,OH,Chemical Substances
2068,115th,2017-04-06,Introduced,"Takano, Mark ",D,CA,Tax Code
2069,115th,2017-04-06,Introduced,"Turner, Michael R. ",R,OH,Education
2070,115th,2017-04-06,Introduced,"Veasey, Marc A. ",D,TX,Education
2071,115th,2017-04-06,Introduced,"Veasey, Marc A. ",D,TX,Education
2072,115th,2017-04-06,Introduced,"Veasey, Marc A. ",D,TX,Education
2073,115th,2017-04-06,Introduced,"Velazquez, Nydia M. ",D,NY,Border
2074,115th,2017-04-06,Introduced,"Walden, Greg ",R,OR,Natural Resources
2075,115th,2017-04-06,Passed House,"Walden, Greg ",R,OR,Natural Resources
2076,115th,2017-04-06,Introduced,"Waters, Maxine ",D,CA,Budget
2077,115th,2017-04-06,Introduced,"Wenstrup, Brad R. ",R,OH,Health Care
2078,115th,2017-04-06,Introduced,"Williams, Roger ",R,TX,Tax Code
2079,115th,2017-04-06,Introduced,"Young, Don ",R,AK,Education
2080,115th,2017-04-06,Introduced,"Young, Don ",R,AK,Natural Resources
2081,115th,2017-04-06,Introduced,"Zeldin, Lee M. ",R,NY,Border
2082,115th,2017-04-06,Introduced,"Thompson, Bennie G. ",D,MS,Border
2083,115th,2017-04-08,Passed House,"Beutler, Jaime ",R,WA,Natural Resources
2084,115th,2017-04-08,Introduced,"Allard, Lucille ",D,Al,Education
2085,115th,2017-04-08,Introduced,"Sablan, Gregorio Kilili Camacho ",D,MP,Budget
2086,115th,2017-04-12,Introduced,"Blackburn, Marsha ",R,TN,Tax Code
2087,115th,2017-04-12,Introduced,"Duffy, Sean P. ",R,WI,Border
2088,115th,2017-04-12,Introduced,"Engel, Eliot L. ",D,NY,Tax Code
2089,115th,2017-04-12,Introduced,"Engel, Eliot L. ",D,NY,Civil Law
2090,115th,2017-04-12,Introduced,"Messer, Luke ",R,IN,Elections
2091,115th,2017-04-12,Introduced,"Reed, Tom ",R,NY,Tax Code
2092,115th,2017-04-12,Introduced,"Reichert, David G. ",R,WA,Small Business
2093,115th,2017-04-14,Introduced,"Blumenauer, Earl ",D,OR,Regulations
2094,115th,2017-04-14,Introduced,"Gottheimer, Josh ",D,NJ,Natural Resources
2095,115th,2017-04-14,Introduced,"Norton, Eleanor Holmes ",D,DC,Labor / Immigration
2096,115th,2017-04-14,Introduced,"Norton, Eleanor Holmes ",D,DC,Civil Law
2097,115th,2017-04-14,Introduced,"Perry, Scott ",R,PA,Civil Law
2098,115th,2017-04-14,Introduced,"Perry, Scott ",R,PA,Civil Law
2099,115th,2017-04-14,Introduced,"Takano, Mark ",D,CA,Military
2100,115th,2017-04-14,Introduced,"Takano, Mark ",D,CA,Military
2101,115th,2017-04-17,Introduced,"Amodei, Mark E. ",R,NV,Elections
2102,115th,2017-04-17,Introduced,"Kihuen, Ruben J. ",D,NV,Small Business
2103,115th,2017-04-17,Introduced,"Rutherford, John H. ",R,FL,Military
2104,115th,2017-04-20,Introduced,"Simpson, Michael K. ",R,ID,Natural Resources
2105,115th,2017-04-20,Passed House,"Webster, Daniel ",R,FL,Infrastructure
2106,115th,2017-04-20,Introduced,"Roskam, Peter J. ",R,IL,Border
2107,115th,2017-04-20,Introduced,"Graves, Sam ",R,MO,Regulations
2108,115th,2017-04-20,Introduced,"Kinley, David B. ",R,WV,Education
2109,115th,2017-04-20,Introduced,"Messer, Luke ",R,IN,Border
2110,115th,2017-04-20,Introduced,"Nadler, Jerrold ",D,NY,Tax Code
2111,115th,2017-04-20,Introduced,"Nadler, Jerrold ",D,NY,Tax Code
2112,115th,2017-04-20,Introduced,"Ryan, Tim ",D,OH,Regulations
2113,115th,2017-04-20,Introduced,"Stivers, Steve ",R,OH,Chemical Substances
2114,115th,2017-04-20,Introduced,"Yoho, Ted S. ",R,FL,Regulations
2115,115th,2017-04-24,Introduced,"Bass, Karen ",D,CA,Civil Law
2116,115th,2017-04-25,Introduced,"Knight, Stephen ",R,CA,Natural Resources
2117,115th,2017-04-25,Introduced,"Sessions, Pete ",R,TX,Labor / Immigration
2118,115th,2017-04-25,Introduced,"Costello, Ryan A. ",R,PA,Chemical Substances
2119,115th,2017-04-25,Introduced,"Lieu, Ted ",D,CA,Civil Law
2120,115th,2017-04-25,Introduced,"Perry, Scott ",R,PA,Infrastructure
2121,115th,2017-04-25,Introduced,"Rothfus, Keith J. ",R,PA,Small Business
2122,115th,2017-04-25,Became Law,"Kinley, David B. ",R,WV,Regulations
2123,115th,2017-04-25,Passed House,"Thompson, Glenn ",R,PA,Health Care
2124,115th,2017-04-25,Introduced,"Schakowsky, Janice D. ",D,IL,Infrastructure
2125,115th,2017-04-25,Introduced,"Brat, Dave ",R,VA,Regulations
2126,115th,2017-04-25,Introduced,"Buchanan, Vern ",R,FL,Education
2127,115th,2017-04-25,Introduced,"Budd, Ted ",R,NC,Labor / Immigration
2128,115th,2017-04-25,Introduced,"Davidson, Warren ",R,OH,Civil Law
2129,115th,2017-04-25,Introduced,"Deutch, Theodore E. ",D,FL,Infrastructure
2130,115th,2017-04-25,Introduced,"Harper, Gregg ",R,MS,Diplomacy
2131,115th,2017-04-25,Passed House,"Higgins, Clay ",R,LA,Infrastructure
2132,115th,2017-04-25,Passed House,"Katko, John ",R,NY,Infrastructure
2133,115th,2017-04-25,Introduced,"Luetkemeyer, Blaine ",R,MO,Small Business
2134,115th,2017-04-25,Introduced,"Luetkemeyer, Blaine ",R,MO,Natural Resources
2135,115th,2017-04-25,Introduced,"Maloney, Carolyn B. ",D,NY,Natural Resources
2136,115th,2017-04-25,Introduced,"Maloney, Carolyn B. ",D,NY,Tax Code
2137,115th,2017-04-25,Introduced,"Mast, Brian J. ",R,FL,Budget
2138,115th,2017-04-25,Introduced,"Caul, Michael T. ",R,TX,Military
2139,115th,2017-04-25,Introduced,"Moore, Gwen ",D,WI,Infrastructure
2140,115th,2017-04-25,Introduced,"Ruppersberger, C. A. Dutch ",D,MD,Tax Code
2141,115th,2017-04-25,Introduced,"Schneider, Bradley Scott ",D,IL,Health Care
2142,115th,2017-04-25,Became Law,"Tsongas, Niki ",D,MA,Border
2143,115th,2017-04-25,Introduced,"Vargas, Juan ",D,CA,Diplomacy
2144,115th,2017-04-25,Introduced,"Walters, Mimi ",R,CA,Chemical Substances
2145,115th,2017-04-25,Introduced,"Waters, Maxine ",D,CA,Border
2146,115th,2017-04-26,Introduced,"Roe, David P. ",R,TN,Civil Law
2147,115th,2017-04-26,Became Law,"Coffman, Mike ",R,CO,Military
2148,115th,2017-04-26,Passed House,"Pittenger, Robert ",R,NC,Small Business
2149,115th,2017-04-26,Introduced,"Johnson, Sam ",R,TX,Tax Code
2150,115th,2017-04-26,Introduced,"Fazio, Peter A. ",D,OR,Infrastructure
2151,115th,2017-04-26,Introduced,"Pocan, Mark ",D,WI,Education
2152,115th,2017-04-26,Passed House,"Poe, Ted ",R,TX,Civil Law
2153,115th,2017-04-26,Introduced,"Rothfus, Keith J. ",R,PA,Budget
2154,115th,2017-04-26,Became Law,"Cramer, Kevin ",R,ND,Natural Resources
2155,115th,2017-04-26,Introduced,"Walberg, Tim ",R,MI,Education
2156,115th,2017-04-26,Passed House,"Knight, Stephen ",R,CA,Natural Resources
2157,115th,2017-04-26,Introduced,"Brat, Dave ",R,VA,Natural Resources
2158,115th,2017-04-26,Introduced,"Beyer, Donald S.",D,VA,Natural Resources
2159,115th,2017-04-26,Introduced,"Cicilline, David N. ",D,RI,Tax Code
2160,115th,2017-04-26,Introduced,"Crist, Charlie ",D,FL,Education
2161,115th,2017-04-26,Introduced,"Curbelo, Carlos ",R,FL,Border
2162,115th,2017-04-26,Introduced,"Davis, Rodney ",R,IL,Budget
2163,115th,2017-04-26,Introduced,"Fitzpatrick, Brian K. ",R,PA,Chemical Substances
2164,115th,2017-04-26,Introduced,"Fitzpatrick, Brian K. ",R,PA,Chemical Substances
2165,115th,2017-04-26,Introduced,"Gallagher, Mike ",R,WI,Infrastructure
2166,115th,2017-04-26,Introduced,"Gohmert, Louie ",R,TX,Military
2167,115th,2017-04-26,Introduced,"Griffith, H. Morgan ",R,VA,Natural Resources
2168,115th,2017-04-26,Introduced,"Issa, Darrell E. ",R,CA,Diplomacy
2169,115th,2017-04-26,Passed House,"Katko, John ",R,NY,Infrastructure
2170,115th,2017-04-26,Introduced,"Malfa, Doug ",R,CA,Labor / Immigration
2171,115th,2017-04-26,Introduced,"Lewis, John ",D,GA,Tax Code
2172,115th,2017-04-26,Introduced,"Love, Mia B. ",R,UT,Small Business
2173,115th,2017-04-26,Introduced,"Matsui, Doris O. ",D,CA,Civil Law
2174,115th,2017-04-26,Introduced,"Rodgers, Cathy ",R,WA,Regulations
2175,115th,2017-04-26,Introduced,"Murphy, Stephanie N. ",D,FL,Border
2176,115th,2017-04-26,Introduced,"Murphy, Stephanie N. ",D,FL,Diplomacy
2177,115th,2017-04-26,Introduced,"Norton, Eleanor Holmes ",D,DC,Civil Law
2178,115th,2017-04-26,Introduced,"Norton, Eleanor Holmes ",D,DC,Labor / Immigration
2179,115th,2017-04-26,Introduced,"Rouzer, David ",R,NC,Chemical Substances
2180,115th,2017-04-26,Introduced,"Speier, Jackie ",D,CA,Health Care
2181,115th,2017-04-26,Introduced,"Tiberi, Patrick J. ",R,OH,Tax Code
2182,115th,2017-04-26,Passed House,"Zeldin, Lee M. ",R,NY,Natural Resources
2183,115th,2017-04-27,Introduced,"Bilirakis, Gus M. ",R,FL,Tax Code
2184,115th,2017-04-27,Introduced,"Caul, Michael T. ",R,TX,Education
2185,115th,2017-04-27,Introduced,"Pittenger, Robert ",R,NC,Border
2186,115th,2017-04-27,Introduced,"Brooks, Mo ",R,AL,Border
2187,115th,2017-04-27,Introduced,"Black, Diane ",R,TN,Tax Code
2188,115th,2017-04-27,Introduced,"Caul, Michael T. ",R,TX,Border
2189,115th,2017-04-27,Introduced,"Cardenas, Tony ",D,CA,Chemical Substances
2190,115th,2017-04-27,Passed House,"Rutherford, John H. ",R,FL,Infrastructure
2191,115th,2017-04-27,Introduced,"Dunn, Neal P. ",R,FL,Infrastructure
2192,115th,2017-04-27,Passed House,"Sally, Martha ",R,AZ,Health Care
2193,115th,2017-04-27,Introduced,"Noem, Kristi L. ",R,SD,Regulations
2194,115th,2017-04-27,Introduced,"Hunter, Duncan D. ",R,CA,Chemical Substances
2195,115th,2017-04-27,Introduced,"Blum, Rod ",R,IA,Regulations
2196,115th,2017-04-27,Passed House,"Russell, Steve ",R,OK,Tax Code
2197,115th,2017-04-27,Introduced,"Cartwright, Matt ",D,PA,Infrastructure
2198,115th,2017-04-27,Introduced,"Castro, Joaquin ",D,TX,Military
2199,115th,2017-04-27,Introduced,"Cramer, Kevin ",R,ND,Natural Resources
2200,115th,2017-04-27,Became Law,"Smith, Christopher H. ",R,NJ,Civil Law
2201,115th,2017-04-27,Passed House,"Emmer, Tom ",R,MN,Small Business
2202,115th,2017-04-27,Introduced,"Green, Gene ",D,TX,Health Care
2203,115th,2017-04-27,Introduced,"Hanabusa, Colleen ",D,HI,Infrastructure
2204,115th,2017-04-27,Introduced,"Hultgren, Randy ",R,IL,Small Business
2205,115th,2017-04-27,Introduced,"Jenkins, Lynn ",R,KS,Tax Code
2206,115th,2017-04-27,Introduced,"Kaptur, Marcy ",D,OH,Military
2207,115th,2017-04-27,Introduced,"Kelly, Robin L. ",D,IL,Education
2208,115th,2017-04-27,Introduced,"Kelly, Robin L. ",D,IL,Education
2209,115th,2017-04-27,Introduced,"Kelly, Robin L. ",D,IL,Tax Code
2210,115th,2017-04-27,Became Law,"Kelly, Mike ",R,PA,Diplomacy
2211,115th,2017-04-27,Introduced,"Lance, Leonard ",R,NJ,Military
2212,115th,2017-04-27,Introduced,"Marino, Tom ",R,PA,Chemical Substances
2213,115th,2017-04-27,Passed House,"Sally, Martha ",R,AZ,Border
2214,115th,2017-04-27,Introduced,"Halleran, Tom ",D,AZ,Regulations
2215,115th,2017-04-27,Introduced,"Perlmutter, Ed ",D,CO,Small Business
2216,115th,2017-04-27,Introduced,"Poliquin, Bruce ",R,ME,Chemical Substances
2217,115th,2017-04-27,Introduced,"Polis, Jared ",D,CO,Tax Code
2218,115th,2017-04-27,Introduced,"Roe, David P. ",R,TN,Natural Resources
2219,115th,2017-04-27,Passed House,"Royce, Edward R. ",R,CA,Civil Law
2220,115th,2017-04-27,Introduced,"Sinema, Kyrsten ",D,AZ,Military
2221,115th,2017-04-27,Introduced,"Smucker, Lloyd ",R,PA,Budget
2222,115th,2017-04-27,Introduced,"Stivers, Steve ",R,OH,Military
2223,115th,2017-04-28,Introduced,"Fazio, Peter A. ",D,OR,Infrastructure
2224,115th,2017-04-28,Introduced,"Smith, Adrian ",R,NE,Health Care
2225,115th,2017-04-28,Introduced,"Stivers, Steve ",R,OH,Military
2226,115th,2017-04-28,Passed House,"Barr, Andy ",R,KY,Small Business
